Order_ID,Order_Date,Month,Quarter,Year,Product_Name,Category,Subcategory,Brand,Unit,Unit_Price,Discount_Percent,Discounted_Price,Quantity,Total_Sale,Vendor_Name,City,Payment_Method,Order_Status
MM-ORD-1055,2024-10-05,Oct 2024,Q4 2024,2024,Bearing 6205,SKF,Motor Parts,SKF,piece,85,0,85.0,4,340.0,Goyal Motors,Gangapur City,UPI,Processing
MM-ORD-1056,2025-12-04,Dec 2025,Q4 2025,2025,Veedol Engine Oil 1L,Veedol,Engine Oil,Veedol,litre,370,5,351.5,11,3866.5,Tiger Motors,Sawai Madhopur,Bank Transfer,Delivered
MM-ORD-1057,2024-04-04,Apr 2024,Q2 2024,2024,Clutch Plate John Deere,OEM,Tractor Parts,OEM,piece,1200,0,1200.0,9,10800.0,Rajasthan Machinery Hub,Jaipur,Bank Transfer,Shipped
MM-ORD-1058,2026-02-28,Feb 2026,Q1 2026,2026,Bearing 6205,SKF,Motor Parts,SKF,piece,85,10,76.5,1,76.5,Khandelwal Shops,Gangapur City,Cash,Cancelled
MM-ORD-1059,2025-07-28,Jul 2025,Q3 2025,2025,Bearing 6205,SKF,Motor Parts,SKF,piece,85,12,74.8,15,1122.0,Shiv Automobile,Gangapur City,Cash,Delivered
MM-ORD-1060,2026-05-04,May 2026,Q2 2026,2026,Remola Engine Oil 10W-30 1L,Remola,Engine Oil,Remola,litre,380,0,380.0,5,1900.0,Rajdhani Machinery,Sawai Madhopur,UPI,Processing
MM-ORD-1061,2024-02-12,Feb 2024,Q1 2024,2024,Hydraulic Seal Kit,OEM,Tractor Parts,OEM,piece,450,0,450.0,14,6300.0,Shiv Automobile,Gangapur City,UPI,Delivered
MM-ORD-1062,2025-11-29,Nov 2025,Q4 2025,2025,Castrol Gear Oil EP-90 5L,Castrol,Gear Oil,Castrol,litre,1180,5,1121.0,12,13452.0,Rajdhani Machinery,Sawai Madhopur,Cash,Cancelled
MM-ORD-1063,2025-09-27,Sep 2025,Q3 2025,2025,Total Engine Oil 10W-30 1L,Total,Engine Oil,Total,litre,410,12,360.8,18,6494.4,Pawan Motors,Gangapur City,Bank Transfer,Delivered
MM-ORD-1064,2025-02-26,Feb 2025,Q1 2025,2025,Turbo Engine Oil 1L,Turbo,Engine Oil,Turbo,litre,360,0,360.0,6,2160.0,SM Auto Parts,Sawai Madhopur,Cash,Delivered
MM-ORD-1065,2024-09-30,Sep 2024,Q3 2024,2024,Capacitor 25uF,Havells,Motor Parts,Havells,piece,120,5,114.0,14,1596.0,Ranthambore Machinery,Sawai Madhopur,Cash,Cancelled
MM-ORD-1066,2024-08-15,Aug 2024,Q3 2024,2024,Total Engine Oil 10W-30 1L,Total,Engine Oil,Total,litre,410,15,348.5,2,697.0,Jaipur Auto Parts,Jaipur,Cash,Shipped
MM-ORD-1067,2024-01-25,Jan 2024,Q1 2024,2024,Capacitor 40uF,Havells,Motor Parts,Havells,piece,150,5,142.5,8,1140.0,Agarwal Machinery,Gangapur City,Bank Transfer,Delivered
MM-ORD-1068,2026-03-02,Mar 2026,Q1 2026,2026,Motor Shaft 1 inch,Local,Motor Parts,Local,piece,350,0,350.0,9,3150.0,Pawan Motors,Gangapur City,UPI,Delivered
MM-ORD-1069,2024-01-29,Jan 2024,Q1 2024,2024,Clutch Plate John Deere,OEM,Tractor Parts,OEM,piece,1200,10,1080.0,18,19440.0,Jaipur Auto Parts,Jaipur,Cash,Delivered
MM-ORD-1070,2024-04-21,Apr 2024,Q2 2024,2024,Gulf Gear Oil EP-90 5L,Gulf,Gear Oil,Gulf,litre,1100,0,1100.0,9,9900.0,Pink City Motors,Jaipur,Bank Transfer,Shipped
MM-ORD-1071,2025-09-12,Sep 2025,Q3 2025,2025,Capacitor 40uF,Havells,Motor Parts,Havells,piece,150,12,132.0,11,1452.0,Tiger Motors,Sawai Madhopur,Bank Transfer,Delivered
MM-ORD-1072,2024-09-17,Sep 2024,Q3 2024,2024,Motor Shaft 1 inch,Local,Motor Parts,Local,piece,350,5,332.5,19,6317.5,Rajdhani Machinery,Sawai Madhopur,Cash,Cancelled
MM-ORD-1073,2025-01-07,Jan 2025,Q1 2025,2025,Winding Wire 20 SWG,Finolex,Motor Parts,Finolex,piece,450,5,427.5,17,7267.5,Khandelwal Shops,Gangapur City,UPI,Delivered
MM-ORD-1074,2026-01-07,Jan 2026,Q1 2026,2026,Capacitor 25uF,Havells,Motor Parts,Havells,piece,120,0,120.0,11,1320.0,Pink City Motors,Jaipur,UPI,Processing
MM-ORD-1075,2025-02-16,Feb 2025,Q1 2025,2025,Bearing 6206,FAG,Motor Parts,FAG,piece,95,10,85.5,14,1197.0,Rajputana Machinery Co.,Jaipur,Bank Transfer,Delivered
MM-ORD-1076,2025-11-11,Nov 2025,Q4 2025,2025,Hydraulic Seal Kit,OEM,Tractor Parts,OEM,piece,450,12,396.0,7,2772.0,Shiv Automobile,Gangapur City,UPI,Cancelled
MM-ORD-1077,2025-02-19,Feb 2025,Q1 2025,2025,Gulf Gear Oil EP-90 5L,Gulf,Gear Oil,Gulf,litre,1100,8,1012.0,19,19228.0,Pink City Motors,Jaipur,Bank Transfer,Delivered
MM-ORD-1078,2026-03-15,Mar 2026,Q1 2026,2026,Bearing 6206,FAG,Motor Parts,FAG,piece,95,12,83.6,7,585.2,Agarwal Machinery,Gangapur City,Bank Transfer,Processing
MM-ORD-1079,2025-11-22,Nov 2025,Q4 2025,2025,Capacitor 25uF,Havells,Motor Parts,Havells,piece,120,15,102.0,15,1530.0,Rajasthan Machinery Hub,Jaipur,Cash,Processing
MM-ORD-1080,2024-10-17,Oct 2024,Q4 2024,2024,Oil Filter Swaraj 855,OEM,Tractor Parts,OEM,piece,180,0,180.0,6,1080.0,Ranthambore Machinery,Sawai Madhopur,Bank Transfer,Cancelled
MM-ORD-1081,2025-11-19,Nov 2025,Q4 2025,2025,Fuel Filter Universal,OEM,Tractor Parts,OEM,piece,120,5,114.0,3,342.0,Pawan Motors,Gangapur City,UPI,Delivered
MM-ORD-1082,2024-09-07,Sep 2024,Q3 2024,2024,Veedol Engine Oil 1L,Veedol,Engine Oil,Veedol,litre,370,0,370.0,1,370.0,Shiv Automobile,Gangapur City,UPI,Processing
MM-ORD-1083,2026-01-05,Jan 2026,Q1 2026,2026,Remola Engine Oil 10W-30 1L,Remola,Engine Oil,Remola,litre,380,5,361.0,14,5054.0,Rajasthan Machinery Hub,Jaipur,Bank Transfer,Shipped
MM-ORD-1084,2025-11-02,Nov 2025,Q4 2025,2025,Oil Filter Swaraj 855,OEM,Tractor Parts,OEM,piece,180,0,180.0,8,1440.0,Jaipur Auto Parts,Jaipur,Bank Transfer,Delivered
MM-ORD-1085,2024-06-29,Jun 2024,Q2 2024,2024,Total Engine Oil 10W-30 1L,Total,Engine Oil,Total,litre,410,5,389.5,14,5453.0,Ranthambore Machinery,Sawai Madhopur,Bank Transfer,Processing
MM-ORD-1086,2026-05-18,May 2026,Q2 2026,2026,Air Filter Mahindra 265,OEM,Tractor Parts,OEM,piece,280,5,266.0,18,4788.0,Khandelwal Shops,Gangapur City,Cash,Shipped
MM-ORD-1087,2026-02-12,Feb 2026,Q1 2026,2026,HP Engine Oil 10W-30 1L,HP,Engine Oil,HP,litre,390,10,351.0,15,5265.0,Ranthambore Machinery,Sawai Madhopur,UPI,Processing
MM-ORD-1088,2024-06-11,Jun 2024,Q2 2024,2024,Clutch Plate John Deere,OEM,Tractor Parts,OEM,piece,1200,15,1020.0,18,18360.0,Jaipur Auto Parts,Jaipur,Bank Transfer,Shipped
MM-ORD-1089,2026-02-23,Feb 2026,Q1 2026,2026,Air Filter Mahindra 265,OEM,Tractor Parts,OEM,piece,280,8,257.6,8,2060.8,Agarwal Machinery,Gangapur City,Bank Transfer,Shipped
MM-ORD-1090,2025-12-31,Dec 2025,Q4 2025,2025,Turbo Engine Oil 1L,Turbo,Engine Oil,Turbo,litre,360,0,360.0,15,5400.0,Agarwal Machinery,Gangapur City,UPI,Delivered
MM-ORD-1091,2024-05-21,May 2024,Q2 2024,2024,Bearing 6205,SKF,Motor Parts,SKF,piece,85,0,85.0,11,935.0,Pawan Motors,Gangapur City,Cash,Delivered
MM-ORD-1092,2024-03-06,Mar 2024,Q1 2024,2024,Motor Shaft 1 inch,Local,Motor Parts,Local,piece,350,5,332.5,5,1662.5,Tiger Motors,Sawai Madhopur,UPI,Shipped
MM-ORD-1093,2024-03-04,Mar 2024,Q1 2024,2024,Capacitor 25uF,Havells,Motor Parts,Havells,piece,120,12,105.6,15,1584.0,Capital Tools,Jaipur,Cash,Shipped
MM-ORD-1094,2026-05-27,May 2026,Q2 2026,2026,Motor Shaft 1 inch,Local,Motor Parts,Local,piece,350,0,350.0,19,6650.0,Rajdhani Machinery,Sawai Madhopur,Bank Transfer,Shipped
MM-ORD-1095,2026-02-10,Feb 2026,Q1 2026,2026,Oil Filter Swaraj 855,OEM,Tractor Parts,OEM,piece,180,8,165.6,12,1987.2,Khandelwal Shops,Gangapur City,UPI,Shipped
MM-ORD-1096,2025-05-14,May 2025,Q2 2025,2025,Hydraulic Seal Kit,OEM,Tractor Parts,OEM,piece,450,5,427.5,18,7695.0,Tiger Motors,Sawai Madhopur,Cash,Delivered
MM-ORD-1097,2024-12-10,Dec 2024,Q4 2024,2024,Winding Wire 20 SWG,Finolex,Motor Parts,Finolex,piece,450,12,396.0,1,396.0,Rajasthan Machinery Hub,Jaipur,Bank Transfer,Cancelled
MM-ORD-1098,2024-05-10,May 2024,Q2 2024,2024,Motor Shaft 1 inch,Local,Motor Parts,Local,piece,350,15,297.5,6,1785.0,Tiger Motors,Sawai Madhopur,Bank Transfer,Processing
MM-ORD-1099,2024-03-26,Mar 2024,Q1 2024,2024,Castrol Engine Oil 10W-30 1L,Castrol,Engine Oil,Castrol,litre,420,0,420.0,13,5460.0,Rajdhani Machinery,Sawai Madhopur,Bank Transfer,Shipped
MM-ORD-1100,2024-02-21,Feb 2024,Q1 2024,2024,HP Engine Oil 10W-30 1L,HP,Engine Oil,HP,litre,390,0,390.0,15,5850.0,SM Auto Parts,Sawai Madhopur,UPI,Shipped
MM-ORD-1101,2024-12-11,Dec 2024,Q4 2024,2024,Capacitor 25uF,Havells,Motor Parts,Havells,piece,120,10,108.0,15,1620.0,Kalyan Machinery Parts,Gangapur City,UPI,Delivered
MM-ORD-1102,2024-01-20,Jan 2024,Q1 2024,2024,Winding Wire 20 SWG,Finolex,Motor Parts,Finolex,piece,450,15,382.5,3,1147.5,Agarwal Machinery,Gangapur City,Bank Transfer,Processing
MM-ORD-1103,2026-03-10,Mar 2026,Q1 2026,2026,Castrol Gear Oil EP-90 5L,Castrol,Gear Oil,Castrol,litre,1180,0,1180.0,8,9440.0,Pawan Motors,Gangapur City,Bank Transfer,Delivered
MM-ORD-1104,2025-09-28,Sep 2025,Q3 2025,2025,Castrol Engine Oil 10W-30 1L,Castrol,Engine Oil,Castrol,litre,420,0,420.0,7,2940.0,Kalyan Machinery Parts,Gangapur City,Cash,Delivered
MM-ORD-1105,2025-04-21,Apr 2025,Q2 2025,2025,HP Engine Oil 10W-30 1L,HP,Engine Oil,HP,litre,390,5,370.5,4,1482.0,Rajasthan Machinery Hub,Jaipur,Bank Transfer,Delivered
MM-ORD-1106,2026-03-07,Mar 2026,Q1 2026,2026,Capacitor 40uF,Havells,Motor Parts,Havells,piece,150,0,150.0,20,3000.0,Shiv Automobile,Gangapur City,Cash,Delivered
MM-ORD-1107,2025-08-12,Aug 2025,Q3 2025,2025,Total Engine Oil 10W-30 1L,Total,Engine Oil,Total,litre,410,8,377.2,1,377.2,Pink City Motors,Jaipur,Bank Transfer,Shipped
MM-ORD-1108,2025-08-29,Aug 2025,Q3 2025,2025,Motor Shaft 1 inch,Local,Motor Parts,Local,piece,350,0,350.0,7,2450.0,Tiger Motors,Sawai Madhopur,Bank Transfer,Cancelled
MM-ORD-1109,2026-03-26,Mar 2026,Q1 2026,2026,Turbo Engine Oil 1L,Turbo,Engine Oil,Turbo,litre,360,0,360.0,10,3600.0,Goyal Motors,Gangapur City,Bank Transfer,Delivered
MM-ORD-1110,2024-03-11,Mar 2024,Q1 2024,2024,Capacitor 40uF,Havells,Motor Parts,Havells,piece,150,10,135.0,14,1890.0,Capital Tools,Jaipur,Bank Transfer,Cancelled
MM-ORD-1111,2024-04-18,Apr 2024,Q2 2024,2024,Capacitor 25uF,Havells,Motor Parts,Havells,piece,120,15,102.0,14,1428.0,Khandelwal Shops,Gangapur City,UPI,Delivered
MM-ORD-1112,2024-06-29,Jun 2024,Q2 2024,2024,Air Filter Mahindra 265,OEM,Tractor Parts,OEM,piece,280,12,246.4,5,1232.0,Tiger Motors,Sawai Madhopur,Bank Transfer,Processing
MM-ORD-1113,2025-04-21,Apr 2025,Q2 2025,2025,Bearing 6205,SKF,Motor Parts,SKF,piece,85,15,72.25,18,1300.5,Pink City Motors,Jaipur,UPI,Cancelled
MM-ORD-1114,2026-04-30,Apr 2026,Q2 2026,2026,PTO Shaft,OEM,Tractor Parts,OEM,piece,2200,5,2090.0,11,22990.0,Agarwal Machinery,Gangapur City,Cash,Delivered
MM-ORD-1115,2024-12-10,Dec 2024,Q4 2024,2024,Air Filter Mahindra 265,OEM,Tractor Parts,OEM,piece,280,12,246.4,15,3696.0,Kalyan Machinery Parts,Gangapur City,Cash,Shipped
MM-ORD-1116,2024-12-29,Dec 2024,Q4 2024,2024,Capacitor 25uF,Havells,Motor Parts,Havells,piece,120,5,114.0,16,1824.0,Shiv Automobile,Gangapur City,UPI,Delivered
MM-ORD-1117,2025-07-23,Jul 2025,Q3 2025,2025,Bearing 6205,SKF,Motor Parts,SKF,piece,85,8,78.2,20,1564.0,Rajdhani Machinery,Sawai Madhopur,Cash,Processing
MM-ORD-1118,2025-05-15,May 2025,Q2 2025,2025,Veedol Engine Oil 1L,Veedol,Engine Oil,Veedol,litre,370,12,325.6,8,2604.8,Goyal Motors,Gangapur City,Bank Transfer,Delivered
MM-ORD-1119,2026-03-22,Mar 2026,Q1 2026,2026,Oil Filter Swaraj 855,OEM,Tractor Parts,OEM,piece,180,15,153.0,16,2448.0,Rajputana Machinery Co.,Jaipur,Cash,Delivered
MM-ORD-1120,2024-11-09,Nov 2024,Q4 2024,2024,Bearing 6206,FAG,Motor Parts,FAG,piece,95,5,90.25,13,1173.25,Kalyan Machinery Parts,Gangapur City,Bank Transfer,Processing
MM-ORD-1121,2025-03-11,Mar 2025,Q1 2025,2025,Capacitor 40uF,Havells,Motor Parts,Havells,piece,150,10,135.0,18,2430.0,Rajasthan Machinery Hub,Jaipur,Bank Transfer,Processing
MM-ORD-1122,2024-11-09,Nov 2024,Q4 2024,2024,Capacitor 25uF,Havells,Motor Parts,Havells,piece,120,8,110.4,15,1656.0,Pawan Motors,Gangapur City,UPI,Delivered
MM-ORD-1123,2024-05-02,May 2024,Q2 2024,2024,Total Engine Oil 10W-30 1L,Total,Engine Oil,Total,litre,410,10,369.0,7,2583.0,Tiger Motors,Sawai Madhopur,Bank Transfer,Processing
MM-ORD-1124,2024-10-10,Oct 2024,Q4 2024,2024,Gulf Gear Oil EP-90 5L,Gulf,Gear Oil,Gulf,litre,1100,15,935.0,7,6545.0,Kalyan Machinery Parts,Gangapur City,Bank Transfer,Processing
MM-ORD-1125,2026-05-02,May 2026,Q2 2026,2026,Clutch Plate John Deere,OEM,Tractor Parts,OEM,piece,1200,0,1200.0,10,12000.0,Pink City Motors,Jaipur,Cash,Delivered
MM-ORD-1126,2024-01-15,Jan 2024,Q1 2024,2024,Turbo Engine Oil 1L,Turbo,Engine Oil,Turbo,litre,360,8,331.2,6,1987.2,Pawan Motors,Gangapur City,Bank Transfer,Processing
